DATE,TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
2/23/2015,714,210.7,210.71,210.65,210.67,33270
2/23/2015,715,210.67,210.72,210.64,210.72,87369
2/23/2015,716,210.71,210.72,210.64,210.65,91417
10/19/2016,1007,214.5,214.51,214.45,214.45,87836
10/19/2016,1008,214.46,214.48,214.45,214.46,50603
10/19/2016,1009,214.46,214.47,214.42,214.43,48735
10/19/2016,1010,214.43,214.46,214.42,214.45,21445
10/19/2016,1011,214.45,214.45,214.43,214.44,42556
10/19/2016,1012,214.44,214.46,214.44,214.45,16150
10/19/2016,1013,214.46,214.46,214.45,214.45,3071
10/19/2016,1014,214.45,214.47,214.45,214.45,47689
10/19/2016,1015,214.44,214.45,214.41,214.42,62336
10/19/2016,1016,214.43,214.43,214.42,214.43,37527
10/19/2016,1017,214.43,214.43,214.41,214.41,4137
10/19/2016,1018,214.42,214.46,214.42,214.45,54740
10/19/2016,1019,214.45,214.49,214.45,214.46,28937
10/19/2016,1020,214.47,214.48,214.47,214.48,4000
11/16/2017,931,258.76,258.81,258.75,258.75,58577
11/16/2017,932,258.75,258.77,258.72,258.77,46629
11/16/2017,933,258.77,258.82,258.77,258.82,40724
11/16/2017,934,258.82,258.83,258.76,258.77,36046
11/16/2017,935,258.78,258.78,258.76,258.77,29304
11/16/2017,936,258.76,258.76,258.72,258.73,20503
11/16/2017,937,258.73,258.78,258.72,258.77,57581
11/16/2017,938,258.78,258.78,258.75,258.75,48621
11/16/2017,939,258.75,258.75,258.72,258.73,26407
11/16/2017,940,258.73,258.73,258.71,258.73,14832
11/16/2017,941,258.72,258.73,258.69,258.7,15371
11/16/2017,942,258.7,258.71,258.65,258.66,52500
11/16/2017,943,258.66,258.68,258.65,258.68,15798
11/16/2017,944,258.68,258.69,258.67,258.68,10551
11/16/2017,945,258.69,258.72,258.69,258.71,22757
5/17/2018,1252,271.96,271.97,271.9,271.91,63331
5/17/2018,1253,271.92,271.96,271.83,271.84,120625
5/17/2018,1254,271.84,271.85,271.79,271.81,102255
5/17/2018,1255,271.81,271.94,271.81,271.92,235676
5/17/2018,1256,271.93,272,271.91,271.95,257628
5/17/2018,1257,271.95,271.98,271.93,271.95,115037
5/17/2018,1258,271.96,271.99,271.91,271.94,143022
5/17/2018,1259,271.94,272.12,271.93,272.11,499706
5/17/2018,1300,272.12,272.14,271.98,272.02,849360
5/18/2018,631,271.62,271.76,271.61,271.64,277046
3/27/2019,743,280.61,280.69,280.38,280.39,142984
3/27/2019,744,280.4,280.41,280.23,280.36,118713
3/27/2019,745,280.37,280.39,280.28,280.39,63551
3/27/2019,746,280.39,280.39,280.08,280.15,155147
3/27/2019,747,280.15,280.25,280.06,280.13,145111
3/27/2019,748,280.13,280.19,280.03,280.14,211459
3/27/2019,749,280.12,280.32,280.12,280.29,157030
3/27/2019,750,280.3,280.32,280.1,280.1,36271
3/27/2019,751,280.08,280.11,279.8,280.1,274602
3/27/2019,752,280.11,280.21,280.05,280.06,52052
3/27/2019,753,280.08,280.1,279.88,279.9,100810
3/27/2019,754,279.89,280.01,279.78,279.9,92399
3/27/2019,755,279.91,280.02,279.87,280,109294
2/19/2020,1032,338.78,338.79,338.75,338.78,17669
2/19/2020,1033,338.78,338.79,338.75,338.77,9127
2/19/2020,1034,338.76,338.78,338.69,338.69,6500
2/19/2020,1035,338.69,338.75,338.67,338.73,28911
2/19/2020,1036,338.73,338.78,338.72,338.73,16095
2/19/2020,1037,338.73,338.73,338.66,338.68,10451
2/19/2020,1038,338.68,338.69,338.66,338.67,8131
2/23/2021,855,384.32,384.39,384.22,384.39,35160
2/23/2021,856,384.38,384.39,384.02,384.02,43919
2/23/2021,857,384.02,384.23,383.92,384.22,51558
2/23/2021,858,384.21,384.24,383.87,384.1,39380
2/23/2021,859,384.11,384.19,383.97,384.15,50511
2/23/2021,900,384.16,384.19,383.95,383.99,29299
2/23/2021,901,383.98,383.98,383.54,383.58,81421
2/23/2021,902,383.59,383.7,383.49,383.62,47870
2/23/2021,903,383.62,383.64,383.33,383.42,80310
2/23/2021,904,383.42,383.45,383.3,383.35,76334
2/23/2021,905,383.36,383.6,383.3,383.45,78722
2/23/2021,906,383.44,383.68,383.42,383.59,45985
2/23/2021,907,383.6,383.6,383.23,383.33,38472
2/23/2021,908,383.32,383.44,383.26,383.27,51747
5/26/2022,800,403.9,404.04,403.9,404,178546
5/26/2022,801,404,404.31,403.88,404.28,108172
5/26/2022,802,404.27,404.41,404.23,404.36,88048
5/26/2022,803,404.36,404.46,404.29,404.45,60254
5/26/2022,804,404.46,404.5,404.4,404.5,72045
5/26/2022,805,404.49,404.67,404.49,404.58,81671
5/26/2022,806,404.59,404.68,404.42,404.43,69634
5/26/2022,807,404.42,404.52,404.37,404.43,43831
5/26/2022,808,404.46,404.5,404.37,404.46,46335
5/26/2022,809,404.47,404.49,404.37,404.46,34648
5/26/2022,810,404.48,404.53,404.37,404.43,40482
5/26/2022,811,404.43,404.49,404.39,404.41,36600
5/26/2022,812,404.41,404.46,404.38,404.43,25606

